,User,REGISTERED_TIME,LAST_SEEN_TIME,FINGERPRINT,AVG_RATING,Total_RATING
29,arij                            ,"Mar 1, 2012","Apr 9, 2014",2D04B4CAB0C3858F3A5329032CFA836BEDA9A91A,2,86
30,ssateneth                       ,"Jul 13, 2012","Dec 31, 2014",877F55F4C1A570A4C6C57BC1B7E80D6D4BD58733,1.9,90
31,cusipzzz                        ,"Mar 6, 2011","Oct 30, 2014",F083B309B07F4DFC4F6D59F00A0DE6A109D47D5D,2.7,72
32,easyat                          ,"Jan 4, 2012","Dec 24, 2014",A3F9F06A8839DE921663A274D20FE76263D462E3,2.4,71
33,mad7scientist                   ,"May 13, 2011","Nov 24, 2014",89F5D5027E9FE55B35696F683FC4656BE45D6C89,1.4,118
34,tim-tams                        ,"Apr 7, 2013","Dec 29, 2014",0EB2043388023608246A68E83C45E4F1E6017AD9,2.3,70
35,jamesonwa                       ,"Nov 5, 2012","Jan 3, 2015",CA46000F350C11A8345811EEEE5B1CCF6A25351D,2.3,76
36,onefixt                         ,"Apr 12, 2011","Apr 8, 2014",768A2D15BB222A2FF9110014C70BCA4D5EFEFF31,3.2,46
37,mqrius                          ,"Nov 30, 2011","Mar 10, 2014",C3B04AD7D093CE4BBA33B48E5A2726297C2AAF67,2.5,59
38,jjjrmy                          ,"Jun 4, 2011","Nov 18, 2013",4B9AA8629862B704AC862AE057E80484BF1E67FA,2.7,53
39,sgornick                        ,"Mar 7, 2011","Nov 9, 2014",1619E0F30A0AE945C3A5407EF64A32C07327B2F8,1.8,80
40,deego                           ,"Jun 18, 2012","Sep 16, 2014",665DCB9B496E9E170960FB9B6F25A84602EB9360,2.2,71
41,noitev                          ,"Apr 27, 2011","Nov 17, 2014",F6A4AAAE02AD6AC82F9ABCCD2ECF91F49564B48E,1.7,80
42,starsoccer                      ,"May 12, 2012","Dec 9, 2014",4ABEBCF3AD482E414A63ABD90118BAC4EA2B3934,1.9,78
43,plato                           ,"Mar 6, 2011","Dec 18, 2014",5FC25A1E41602E3F99D8090381898844A1BF37D6,2.5,49
44,evanr                           ,"Mar 14, 2011","May 11, 2013",CC87A71529CB5057FA7847E109198AABB6DAF869,2.2,65
45,btcfaucet                       ,"Sep 18, 2012","Jan 5, 2014",354FD9FB22AAF35CFBC47DB1392FF4B05B752241,2.8,50
46,grubles                         ,"Jun 12, 2011","May 25, 2015",D191CE495914F681F7CA94EB31040DE39974C0B2,2.8,44
47,csshih                          ,"May 6, 2011","Aug 4, 2014",5C52A720797B9B34685CF40FDFB41D2A7F2BF2E6,2,59
48,diatonic                        ,"Mar 6, 2013","Apr 23, 2015",D82D8AC77D1CA6CEA703610C6A032B16F9574F2E,2,59
49,bitcointrader                   ,"May 11, 2011","Nov 17, 2012",D28E4A465A6865C5BE288039D4419750DA25FB35,1.9,59
50,btchero                         ,"Nov 15, 2011","Sep 10, 2014",37B59238D5A2F2A4BA00C5FB35255B1C5191C375,1.6,70
51,easystevey                      ,"Mar 11, 2012","Oct 22, 2012",5CA5B85A3ED267FA31E07E283F0A282CB961C7F8,2,57
52,kelticfox                       ,"Nov 4, 2012","Dec 29, 2014",F8E0894CF75B2F80283A892959CAD6F2CA596B8F,3,38
53,jgarzik                         ,"Mar 7, 2011","Aug 31, 2014",60B00235B3355D84BF2A4E35DA1DC20F2DBF0CA8,3.3,38
54,graet                           ,"Jun 15, 2011","Jul 8, 2013",F47217D2C111C9A3182E89BDACF0D8FCC25A20A0,3.4,34
55,yoyoceramic                     ,"Dec 21, 2012","Feb 3, 2014",F28F5847CAA9AC1D65B575541B6A66C64D242F0C,3.2,33
56,sonba                           ,"May 31, 2011","Jun 3, 2012",6268B613A94C748C33057D95ADC2908E6AE99A9D,1.9,55
57,jurov                           ,"Jan 18, 2012","Oct 25, 2016",BBB0A99950037551F533850A677ABD62D0AEE7D7,2.3,45
58,csm                             ,"Apr 10, 2013","Dec 15, 2014",8FC816200D1D53BD43753B79119B7FD510B8EF62,2.3,79
59,cornfeedhobo                    ,"Mar 29, 2013","Dec 31, 2014",6CB192A3A0D2198E69E99D356610FE2B6BD98C42,2.8,35
60,ineededausername                ,"Jan 2, 2012","Aug 28, 2012",5E3361836356D0F66A3FFDF93DE98C5AC44FAD1F,3.7,28
61,bitnumus                        ,"Nov 16, 2012","Mar 3, 2014",843D68D2C4757F2EA3FDFE5332CEAE5490E8EBEE,2.3,42
62,zapsoda                         ,"Jun 13, 2012","Oct 27, 2014",9FA514A2A4441889E0D60820E930990F4D75DB9B,2.3,42
63,jwu42                           ,"Mar 10, 2011","Dec 27, 2014",06A1D6BCFD3223CB045B399D474919FF6AACA172,2.5,38
64,t3mpn4me                        ,"Apr 30, 2011","Mar 14, 2014",8CD3972A88A9188AF3BB5A421DA4E8E8575486C3,1.7,54
65,dbordello                       ,"Jul 18, 2011","Jan 19, 2014",DDB9ECA68CD6B31CA5FAC4F5D56ED50CCA0B95DF,2.2,42
66,ocminer                         ,"Nov 6, 2011","Dec 18, 2013",1098EE5EB037EBDD5DDA768A570D052D01DD69B4,1.5,61
67,aldur1                          ,"Sep 20, 2012","May 6, 2014",C1422937B4F47E58FD2B5199CD594492FD555F79,3.3,35
68,paulzag                         ,"Jan 24, 2012","Mar 20, 2013",F36D4740261B6E12B48DC67BD2E53C8106D2F48F,1.7,69
69,smickles                        ,"Jun 20, 2011","Jun 20, 2016",96ACCA7C3B09EC61B0A6D7F9EA62D7CEB2450C3F,1.8,51
70,miernik                         ,"May 12, 2012","Mar 9, 2013",FE3EF7CF02805369256B0BA7BF7AE9131EDCFCD9,4,22
71,assbot                          ,"Apr 11, 2014","Apr 27, 2015",7C1FBEC924FBD66531A02AE3F95E4E395927DC9C,4.3,20
72,trilogy456                      ,"Mar 30, 2011","Jul 8, 2014",AF1BE90D7C433B00FA9CF7280507082E7C1B757D,1.9,46
73,ex0deus                         ,"Oct 19, 2012","Dec 9, 2014",E9EA45266F529757DAABF44D29C78D96B21A51F4,1.6,54
74,slush                           ,"Apr 11, 2011","Mar 11, 2013",79BE846DC805C820FAD332CA71D5C7F995DA2743,3.5,24
75,dcash                           ,"May 16, 2011","Jan 29, 2013",019BB44EC332FF63E6D63ABE788469585D1352D2,1.6,53
76,qew                             ,"Jun 6, 2011","Aug 27, 2011",68F3091D99FFC464C7EFAA5F7991AAC406A18EE6,3.1,30
77,osmosis                         ,"Jun 9, 2011","Apr 10, 2013",3E64FC72E58587D716FFA91239D7A952ADA590AB,1.8,46
78,uzyn                            ,"Jun 6, 2011","Oct 7, 2014",05DCC0E2657218AA274D11FC1DFE4364F5442ADE,1.5,55
79,palsecam                        ,"Jun 13, 2011","Feb 12, 2014",17A47B191531B8DE17A22F4137564EE488C5E72C,1.2,67
80,deadterra                       ,"Apr 5, 2012","Aug 24, 2013",50D437162E449CAD98B9922AA66A3733FC94B88F,2.9,34
81,congregate                      ,"Mar 27, 2013","Dec 22, 2014",0589471CDA1238DDBC4971DAF8F6EB00AE3AB81F,2.1,39
82,genericpersona                  ,"Jul 28, 2013","Jan 4, 2015",AB2FC2A5CA87D40F094866DF1FBA9FBBDFB49835,2,44
83,a5m0                            ,"Oct 18, 2011","Aug 22, 2013",51AC908C6EDCEC8C0C472B5BECCD44884C3ED843,1.7,47
84,bitmark                         ,"Mar 11, 2011","Jan 1, 2011",10A55BC2F91A6B415043612D22CCA9563AFAE967,1.7,49
85,anduck                          ,"May 8, 2012","Dec 23, 2014",CA792C93C799D2C83A69BCE65F81CCEC5886D61E,2.1,75
86,apocalyptic                     ,"May 24, 2013","Jul 5, 2016",947869981D97109BE5ECF1750809D4E0BD84844B,1.4,54
87,joecool                         ,"Apr 28, 2011","May 22, 2016",D7570DDF7F8527E085A6CBA44A169504F495E1D1,2.5,38
88,anonx                           ,"May 8, 2011","Jan 18, 2013",F0FDD69F7880935F5C430E6E2E60A192B09DCEBA,2,49
89,akhan08                         ,"May 27, 2011","Feb 20, 2013",3E3ABE1AF08932601C0E9266E3A918FC7B509238,2.4,53
90,bingoboingo                     ,"Mar 17, 2013","Mar 24, 2016",ADD7A9A28F85E5EF1F51904F309BB8D7F3251143,2,40
91,asciilifeform                   ,"Sep 14, 2013","Dec 5, 2016",17215D118B7239507FAFED98B98228A001ABFFC7,2.8,28
92,tcatm                           ,"Mar 6, 2011","May 13, 2013",1CDB743D775BDD2CAC0B95E436744B67A1EC02ED,3.1,24
93,c4pt                            ,"Oct 28, 2011","Dec 28, 2014",DB834DC4193CA74443D1C580A8D54C1BA532F27B,1.6,49
94,thelordoftime                   ,"Mar 21, 2013","Jan 3, 2015",FE87E56959370E1989828103406253859C1129B6,2.4,39
95,thebutterzone                   ,"Jul 27, 2012","Apr 26, 2015",78119EA56AB4E5FCFFA80F3DBB1BA21293E90CFC,2.2,101
96,dingorabiit                     ,"Apr 26, 2011","Jul 23, 2014",DE2CB553E5EC6150729FB0EF28F418998A0E020D,1.8,41
97,mod6                            ,"Sep 14, 2011","Mar 23, 2016",027A8D7C0FB8A16643720F40721705A8B71EADAF,2.1,34
98,doublec                         ,"Mar 6, 2011","Jul 30, 2012",AA10A0B5334FA2E9B21D5131736D9F349753DFAB,2.1,35
99,phraust                         ,"Apr 28, 2011","Dec 10, 2014",9E2A3D7C38D2FFA5B8DACD8BA41BB10083F04F46,2.4,30
100,casascius                       ,"May 1, 2011","Dec 28, 2012",25AD1933B0D3FE72113595CC5A2EE8F1F1175A23,2.7,26
101,phoebus                         ,"May 28, 2011","Sep 23, 2014",6FDACFFA4B3B260D5FA5FC6ADDB4E5D283D78010,3.3,34
102,projectshifter                  ,"May 12, 2012","Dec 19, 2014",D28BC7246E3193C5C0ADF0967F287F376F28416A,1.7,43
103,arigold                         ,"Sep 3, 2013","Aug 7, 2014",DC207D47471858D50BECD13068EAB5A4A68A7455,1.8,40
104,laoshanlong                     ,"Apr 3, 2011","Nov 14, 2013",466851FFF7BE5C8267550B77F6B0B7FC2BC3D1DB,1.4,48
105,occulta                         ,"Dec 2, 2011","Mar 20, 2013",BED6C2880D9EA7B29FF39DB3F5A703CC74E46E5D,2.2,32
106,ben_vulpes                      ,"Mar 10, 2013","Oct 17, 2016",4F7907942CA8B89B01E25A762AFA1A9FD2D031DA,1.9,37
107,amiller                         ,"Mar 9, 2011","May 31, 2014",DEB3132A7FBA37A503ACA462E3787A7250538F3F,2.1,32
108,overlordi                       ,"Mar 20, 2011","Jan 1, 2011",A4E2554ACF9EA278226D340A0606A7AA00BF33DB,1.9,41
109,foggyb                          ,"Jan 20, 2012","Oct 20, 2014",13A79C26DD6C5E82B94A6FCE27F222C67BD46381,2.2,31
110,fluffypony                      ,"Apr 4, 2013","Oct 5, 2016",BDA6BD7042B721C467A9759D7455C5E3C0CDCEB9,1.7,42
111,rbecker                         ,"Apr 9, 2011","Jan 1, 2015",2C423D6DAE3CE952191B66EC8B2731A00F23E23F,2.6,26
112,savetheinternet                 ,"Oct 6, 2012","Jun 12, 2013",9D8100004B70196CD780C3C0080CC10AC3E7E093,3.2,21
113,theymos                         ,"Mar 11, 2011","May 28, 2013",5E6B3F3BA961193C5C9B4435C6555693DAB591E7,3.2,40
114,tencevad                        ,"Apr 8, 2013","Jun 10, 2014",C0EF2778E1BEC88C2463B019CC33F94B4DAAF57A,1.5,44
115,monocleman                      ,"Sep 8, 2012","Oct 21, 2013",39FFF69165F27BD0C0C7532BF0DB541114F28440,1.4,47
116,seco                            ,"Jun 26, 2011","Dec 20, 2013",32D49A303E8BB962C1C43CAFE2B1A1461D8F4C3B,1.3,54
117,peezr                           ,"Jul 4, 2013","Dec 15, 2014",E13615BBDDEC143A5CA5A5AC4AE29B6BC467562C,1.8,36
118,noagendamarket                  ,"Mar 9, 2011","Aug 9, 2012",30331865D8FA365DDCFFD8377861D2AFDD42D4B5,3.7,25
119,davout                          ,"Nov 16, 2012","Nov 23, 2016",291237F37A2C023CADBED52513288EAB01713428,2.4,26
120,pyroarchy                       ,"Feb 1, 2013","Dec 27, 2014",7F8ABB63A427DAE04D7CA05A884EE45161F4926F,2.4,26
121,nelisky                         ,"May 3, 2011","Jun 4, 2013",454B6EDC5B8A89956DFAA1F941CCB72AFE6970CC,1.9,32
122,ageis                           ,"Oct 22, 2011","Dec 27, 2014",22586762C39A5DFFF7D7FDC55F4F47885921D69C,1.9,32
123,weenfan                         ,"Apr 8, 2012","Dec 29, 2014",A1EF3D9F0943246119CB7FE9AB821FEBE8474B1D,1.8,33
124,elevateddownfall                ,"Sep 29, 2012","Jan 15, 2013",CBB7A534C5D65FE9F058E100CEBCD53D79B44E9B,2.6,56
125,markus                          ,"Feb 5, 2013","Dec 8, 2014",8AD720AE3EEEA1EE65C394BDB56BBF511D938580,1.9,64
126,bitbargain                      ,"Dec 30, 2012","Nov 29, 2014",CB05544412B2754A7DC8A5C80304FE2C8C47E7A8,2.6,23
127,tryptus                         ,"Jul 30, 2013","Dec 17, 2014",2A13F55A60D1824C93CD4C61EFD2CFCE288C484F,1.8,33
128,coinpal                         ,"Apr 8, 2011","Jan 1, 2011",8A96BADAAF5A117680D7074F45169A41F3B2D2EB,3.5,17
129,shocky                          ,"May 23, 2011","Sep 3, 2013",D3304EEAB3733074A50BA2EE2B09BBB448098B15,1.4,44
130,citiz3n                         ,"May 17, 2011","Nov 22, 2013",D9D27453259D00D2CF21B9B94B1A106328D1981A,1.8,32
131,assassindrake                   ,"Jun 11, 2011","Sep 8, 2011",6BC2D540F415C94A3DD58C4D393082921429CDAE,2,28
132,splatster                       ,"Jan 8, 2012","Aug 18, 2012",1E092985EAA8810BE22C00D49045F5406CDA64D4,1.6,37
133,johnthedong                     ,"Jun 4, 2012","Dec 14, 2014",42B6DC513D9DFDEC4C287CD78353E637B3AAEEB0,3.2,18
134,delorean719                     ,"Sep 29, 2011","Nov 28, 2013",4DCE84EA0001EDD7B0A235885BE6706E634C8E9A,2,28
135,phrog                           ,"Jul 22, 2012","Dec 31, 2014",94E2456FAA4F77A3BF9E86967A885DCC12393E65,1.7,33
136,kreal                           ,"May 17, 2011","Aug 8, 2013",D05DC247C6D8CB5C5DD0F7240F19C723A191DD05,2,28
137,episking                        ,"Mar 30, 2011","Jan 1, 2011",9BD887CEDF3372405E1EA9BBA85DCEA239CF273F,2.5,22
138,gwillen                         ,"Mar 10, 2011","Jun 18, 2014",F95E06E45B897FB244FFFE0173C6385F7D280EB4,2.2,24
139,kgo                             ,"Apr 21, 2011","Apr 16, 2013",A530C31CD7620D26E2BAC384B6F6FFD0E3B5806F,1.7,32
140,rainman28                       ,"May 31, 2014","Dec 11, 2014",30AD187AF62F6E7AA829B02AF2825626E97847CF,1.8,29
141,luke-jr                         ,"Mar 6, 2011","Dec 17, 2014",E463A93F5F3117EEDE6C7316BD02942421F4889F,3.7,83
142,framedragger                    ,"Jun 23, 2011","Dec 7, 2016",E2DF986D58A0D3876BA165FACC0510AAFD8AF4B7,1.4,36
143,metabank                        ,"Dec 21, 2011","Apr 10, 2013",9FA4B945B7D4BE68E2E56C12B889DB4DF0981C97,2.2,46
144,abracadabra                     ,"Mar 2, 2012","Feb 24, 2014",7504DCED9765FA79FE6AE7DD6245A3AA421B254D,2.2,24
145,qg                              ,"May 23, 2013","Dec 29, 2014",0FC17787D364466DC5686B4F31AF6822CA3B400F,3.1,17
146,tuxavant                        ,"Aug 15, 2011","Apr 2, 2013",C8AA16559DDBB2593676A077D2F2A37E418FB6B9,4.8,11
147,garrettb                        ,"Mar 13, 2011","Oct 17, 2012",D7C02353160505F40A2F3ACDB1D8EBC8A5CC060B,1.7,30
148,rothgar                         ,"Apr 8, 2011","Jul 31, 2014",4BF10B4D89E0A466BA83328D4FB28DD8EA18EA0A,1.7,31
149,serajewelks                     ,"Apr 11, 2011","Sep 4, 2014",2B7AB2808B1221CC260ADF656FCE505ACF8338F5,2,37
150,mariosal                        ,"Jul 16, 2012","Oct 25, 2014",EDA73FFAAC90998B1325364E44135CC0A6085C57,3,20
151,blitz                           ,"Mar 13, 2011","Feb 24, 2014",2AFF074AE0704AFBD8E36C537DE284F2355F6D9C,1.9,26
152,rgm3                            ,"Mar 17, 2011","Mar 11, 2014",3164FFECA9DEEFFA4452393A01B4AA3C4F7FF64B,1.6,30
153,boonies4u                       ,"May 14, 2011","Dec 10, 2014",D6A59F3BD29228C31735A6D3BD383E0DF3AEA7E4,1.1,44
154,random_cat                      ,"May 21, 2011","May 26, 2014",B1AAC3A4D0D6D96EB953CD7C79D7E63085CCC6C3,1.3,37
155,greed                           ,"Dec 7, 2011","Jul 22, 2013",BB369DF1D72E8FC3DED9CA2523FDA2E1A417BD64,1.3,39
156,someguy123                      ,"Dec 22, 2011","Dec 27, 2014",002DE5E5D327EABEF4AAC5DCF9EB561A4F6AA8A0,2.2,23
157,wahbaduck                       ,"Jun 30, 2013","Dec 20, 2014",55E6F667BA89B0D780F4A15185C36DAC99E0FDDE,2.1,23
158,reeses                          ,"May 2, 2011","Aug 1, 2014",F98C15FDA3FFE893DE23A0791336785E1D707CCE,4.5,24
159,herodes                         ,"Aug 23, 2011","Mar 13, 2014",6714A9D3D1EA12B19DFC4104B7868695A1FFD314,5.2,9
160,bubbleboy99                     ,"Mar 27, 2012","Oct 15, 2014",F0423DEDE616425982DDB93BA2FEC685E575F715,1.4,35
161,dooglus                         ,"Apr 3, 2012","Mar 7, 2016",258EAE7C26B1F2EBCFA180C04BE6A010492A358E,2.4,19
162,mustellollc                     ,"Oct 1, 2012","Sep 1, 2014",8A5DD6FBED0E894C6652829C41C3837A68AA6E76,1.8,25
163,dmzpkts                         ,"May 31, 2013","Dec 10, 2014",A978BFEED127BEBFC2A22FECD90F0A9663CA1934,1.5,31
164,midnightmagic                   ,"Mar 10, 2011","Jan 16, 2016",38D66A9A4924B90C0F29BE78DA9F87D87658F741,2.5,18
165,luceo                           ,"Jun 11, 2012","Apr 10, 2013",8BAF291D510D6ACF534747361F0FDBD1B5C00604,2.6,48
166,tiner                           ,"Apr 11, 2011","Oct 1, 2011",0E71071A1B0AE0C04D83F1EB6F529AFFE48BBB63,1.8,24
167,brocktice                       ,"Apr 15, 2011","Nov 26, 2013",1AABE393CA3DB5F633E240AF5F59304F1CC478DB,2.8,16
168,antivigilante                   ,"Apr 17, 2011","Jan 1, 2011",423EA86208762D56C7980B08C61C2EDC1D2774C9,2.1,21
169,paraipan                        ,"Jun 25, 2011","May 5, 2013",287D24F86A86A143EB2CB9B84CE65E9A3576436B,2.8,19
170,majinx                          ,"Jul 2, 2012","Aug 1, 2013",2A8ECC8E1D92CA92F7A8EB681374DE0F1D4C052B,1.5,30
171,stqism                          ,"Feb 8, 2013","Dec 20, 2014",497162AEFF8764E3935DA90813D2043169D25DF4,2,32
172,rawted                          ,"Feb 10, 2013","Jul 30, 2014",2673F17C3A926B5DAC51F0372AC353E7BF1AD95E,1.6,28
173,dinox                           ,"Apr 23, 2011","Feb 25, 2013",03FFFBD4846084D2D45B806F2CD7FB6DC58E03DA,1.6,27
174,patrickharnett                  ,"Mar 6, 2012","Sep 16, 2012",9FEF5C23D282C1BE268188103DFE38199BDB9DAB,4,28
175,aethero                         ,"Apr 30, 2012","Apr 1, 2013",3DE306F51EED602C7D9536D934DF1DBEF11759B0,3.4,198
176,cylta                           ,"Jul 20, 2012","Sep 6, 2014",68A107AA30813C8BFF2B31D435E361F6B371D52E,1.4,30
177,bitstein                        ,"May 24, 2014","Jan 10, 2016",2CEA814804FCF14D9C1AE8EA1EA2662DEB2FEFBE,3.9,11
178,drise                           ,"Apr 27, 2011","Oct 30, 2011",16EB6A2D2E8F8E08CCDF38865CF2DC37B1440B0A,1.9,22
179,astrohacker                     ,"May 17, 2011","Jul 3, 2013",123E4DDFED1201B103DA79DE1FA994E2A11B4DDE,1.7,25
180,croleva                         ,"May 30, 2011","Jan 1, 2011",DC0FCBE03C4E70561C1AF3871CE3FD05E94A3083,2.8,22
181,vescudero                       ,"Oct 2, 2011","Aug 8, 2014",684C357C9E2E75203E0631DF5C02579782C47638,2.1,20
182,coingenuity                     ,"Oct 25, 2011","Oct 1, 2013",BE6C72ADF68E7F9AD864FC4AEAA1E365F2E6FFEF,3.8,36
183,hasimir                         ,"Sep 22, 2012","Jun 22, 2015",DB4724E6FA4286C92B4E55C4321E4E2373590E5D,2,22
184,weex                            ,"May 8, 2011","Aug 17, 2014",A1215A6799D67D46C4CA69634FAAD8A9DB263342,2.7,15
185,gmaxwell                        ,"Jun 22, 2011","Dec 29, 2014",DE47BC9E6D2DA6B02DC610B1AC859362B0413BFA,5.4,39
186,aurumxchange                    ,"Dec 4, 2011","May 21, 2013",1303FFB6C17493CC1D43037B7C9828D7EE18C179,2.7,16
187,guruvan                         ,"Apr 13, 2012","Feb 12, 2016",50C9ACA3898D561CEFE518FCAF02B22DA54E87F2,2.6,27
188,kingdom                         ,"May 20, 2013","Jan 2, 2015",29B03D8403B20D0935CB21CE47C6ADB43E7974A1,1.9,22
189,mike_c                          ,"Nov 1, 2013","Apr 21, 2016",9086CA4627840552468FE3D44FBC58464F910E21,2.3,18
190,napedia                         ,"May 1, 2014","Nov 6, 2014",148A367BD845D9FD07E04A866AE9B3981CB4BC42,5.1,8
191,tril                            ,"Apr 19, 2011","Feb 24, 2014",1FACAF79FEC3D9A108C46067DBE963D1F862038F,2.1,19
192,jamalaka                        ,"May 2, 2011","Aug 23, 2014",09F9EB1AF018AD7FC13F5691F2FD8114836F188D,2.3,18
193,utp                             ,"Jun 8, 2011","Jan 1, 2011",018062F7EB3CFCCA0C68D63421E06BA17E48812B,3.6,11
194,namworld                        ,"Oct 23, 2011","Nov 4, 2015",F12DE6B4E1EF26F5768BE918F2758D83EEEDE453,1.7,23
195,babbler                         ,"Nov 29, 2011","Aug 27, 2013",C8E5693DC214BC407BA64FC6BF4F4A6D8591539D,1.8,33
196,perlboy                         ,"Mar 18, 2012","Oct 4, 2014",FEAED9BF4BE9351CB17D87AEF3F5C1B18918EBE6,2.2,18
197,camolist                        ,"Dec 2, 2012","Feb 10, 2014",B09B5F1B8F1BD059012F2FDF326D816FE42E0A25,1.6,27
198,sipa                            ,"Mar 24, 2011","Jul 14, 2013",D762373D24904A3E42F33B08B9A408E71DAAC974,4.9,12
199,nxtitle                         ,"Apr 22, 2011","Mar 5, 2014",4DBAC499BAACDA457A0410AF1D2848F219286533,2.6,16
200,gjs278                          ,"May 27, 2011","Apr 10, 2013",1115356E33457B3F31AEF5E264E8587992EDF2A7,1.6,25
201,phungus                         ,"Sep 4, 2011","Jan 1, 2014",C12E3925A93DF79F65705CF8F27699E97CFD9BE3,1.5,26
202,speed_racer8                    ,"Mar 19, 2012","Sep 1, 2012",D50F75EF9CB6D283CD76A3D34E71DADF54FC6AF0,2.2,20
203,uw                              ,"Jul 11, 2012","Mar 30, 2014",4DED1A916920711B313F016ED6D2EAC8694656E6,1.4,27
204,iwilcox                         ,"Feb 22, 2013","May 2, 2014",4189CDE0030CCD181119A68EFC828BBD1FE4BAC7,2.2,18
205,tweeeaks                        ,"Mar 16, 2013","Jan 1, 2015",BA3BE784D3D2A35BEF66AF25B96A99E4C97CD4E2,2.1,19
206,sleepnbum                       ,"Apr 8, 2013","Sep 9, 2014",798E6B90084407CEB7CAA6D37F436E5AABAB976A,2.6,15
207,alexmat                         ,"Apr 13, 2011","Dec 22, 2013",6DA1459B48A5536DC2C7E63C9E3A8F3EAB3029DC,2.1,19
208,krasi0                          ,"May 30, 2011","Sep 14, 2011",80CFB2ED6D813FF565435C96A31AEEA0FC84FFF6,3.2,12
209,rawrmage                        ,"Jun 8, 2011","Jun 16, 2012",D1B8F11EE3D551A64100055A677F1EBC1EA5A6A7,1.7,28
210,syn4p515                        ,"Jul 22, 2011","Nov 4, 2011",83D602EEEC34913F5EE67CA5FF6B605680F93274,2,19
211,gtklocker                       ,"Jul 15, 2012","Sep 8, 2014",867F1D46FAB72B16519D04DADFD7ACE76D9B91BA,6.3,6
